Data;PIB a preços de 1995(1428699);PIB a preços correntes(1428698)
08/2017;100039,000;555401,000
09/2017;97256,000;542605,000
10/2017;98785,000;572943,000
11/2017;97805,000;572067,000
12/2017;96970,000;567762,000
01/2018;94827,000;538000,000
02/2018;94222,000;536387,000
03/2018;101869,000;583446,000
04/2018;100135,000;577160,000
05/2018;95437,000;550937,000
06/2018;99006,000;576604,000
07/2018;101437,000;580739,000
08/2018;102125,000;587250,000
09/2018;97982,000;568945,000
10/2018;100823,000;609283,000
11/2018;98956,000;594954,000
12/2018;97372,000;585466,000
01/2019;96362,000;566008,000
02/2019;96449,000;568728,000
03/2019;99835,000;590943,000
04/2019;100264,000;603212,000
05/2019;100002,000;603378,000
06/2019;97482,000;589214,000
07/2019;102929,000;620537,000
08/2019;102117,000;616319,000
09/2019;100103,000;605842,000
10/2019;103281,000;643193,000
11/2019;100006,000;625888,000
12/2019;98820,000;623657,000
01/2020;97355,000;612921,000
02/2020;97210,000;615525,000
03/2020;98915,000;629757,000
